,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
72,72,Finland,"7,198",,328,,"6,600",,270,1,"1,299",59,"237,500","42,865","5,540,667",770,"16,892",23
73,73,DRC,"6,827",+137,157,+4,985,+48,"5,685",,76,2,,,"89,503,264","13,110","570,084",
74,74,Senegal,"6,586",+127,105,+3,"4,291",+36,"2,190",27,394,6,"77,482","4,630","16,735,488","2,541","159,386",216
75,75,North Macedonia,"6,080",+174,286,+9,"2,315",+79,"3,479",55,"2,918",137,"57,895","27,789","2,083,374",343,"7,285",36
76,76,Kenya,"6,070",+259,143,+2,"1,971",+35,"3,956",18,113,3,"165,196","3,073","53,751,415","8,855","375,884",325
77,77,El Salvador,"5,934",+207,152,+9,"3,557",+110,"2,225",169,915,23,"157,799","24,329","6,485,944","1,093","42,671",41
78,78,Tajikistan,"5,849",+50,52,,"4,448",+57,"1,349",,613,5,,,"9,533,999","1,630","183,346",
79,79,Haiti,"5,777",+55,100,+2,706,+65,"4,971",,507,9,"11,332",994,"11,400,915","1,974","114,009","1,006"
80,80,Ethiopia,"5,689",+119,98,+4,"2,132",+117,"3,459",33,50,0.9,"246,911","2,149","114,911,577","20,199","1,172,567",465
81,81,Guinea,"5,291",,30,,"4,215",,"1,046",24,403,2,"14,407","1,098","13,125,832","2,481","437,528",911
82,82,Gabon,"5,209",,40,,"2,327",,"2,842",10,"2,341",18,"34,774","15,630","2,224,808",427,"55,620",64
83,83,Venezuela,"5,130",,42,,"1,327",,"3,761",9,180,1,"1,219,651","42,891","28,436,267","5,543","677,054",23
84,84,Kyrgyzstan,"4,748",+235,47,+1,"2,242",+30,"2,459",30,728,7,"212,112","32,519","6,522,704","1,374","138,781",31
85,85,Djibouti,"4,643",,52,,"4,348",,243,,"4,700",53,"45,998","46,565","987,816",213,"18,996",21
86,86,Bulgaria,"4,625",,216,,"2,475",,"1,934",20,666,31,"132,571","19,079","6,948,538","1,502","32,169",52
87,87,Luxembourg,"4,242",+25,110,,"3,978",,154,1,"6,778",176,"177,217","283,168","625,838",148,"5,689",4
88,88,Hungary,"4,142",+4,581,+3,"2,685",+4,876,9,429,60,"271,194","28,073","9,660,454","2,332","16,627",36
89,89,Mauritania,"4,025",,121,,"1,344",,"2,560",21,866,26,"13,842","2,978","4,647,325","1,155","38,408",336
90,90,Bosnia and Herzegovina,"3,935",,178,,"2,338",,"1,419",4,"1,199",54,"88,548","26,989","3,280,868",834,"18,432",37
91,91,French Guiana,"3,461",,12,,"1,249",,"2,200",21,"11,593",40,"8,061","27,002","298,536",86,"24,878",37
92,92,CAR,"3,429",,45,,699,,"2,685",2,710,9,"23,208","4,806","4,828,565","1,408","107,301",208
93,93,Greece,"3,376",+10,191,,"1,374",,"1,811",10,324,18,"305,137","29,275","10,423,210","3,087","54,572",34
94,94,Thailand,"3,162",,58,,"3,053",,51,1,45,0.8,"468,175","6,707","69,798,806","22,074","1,203,428",149
95,95,Costa Rica,"2,979",,15,+2,"1,325",,"1,639",5,585,3,"38,500","7,558","5,093,651","1,710","339,577",132
96,96,Somalia,"2,894",+16,90,,887,+19,"1,917",2,182,6,,,"15,884,366","5,489","176,493",
97,97,Croatia,"2,691",+67,107,,"2,152",,432,,655,26,"76,266","18,577","4,105,329","1,526","38,368",54
98,98,Mayotte,"2,508",,32,,"2,218",,258,8,"9,197",117,"8,800","32,270","272,697",109,"8,522",31
99,99,Albania,"2,402",+72,55,+2,"1,384",+38,963,15,835,19,"22,912","7,962","2,877,812","1,198","52,324",126
100,100,Cuba,"2,332",+2,86,,"2,201",+14,45,,206,8,"166,335","14,685","11,326,652","4,857","131,705",68
101,101,Maldives,"2,324",+19,8,,"1,911",+36,405,9,"4,300",15,"48,603","89,938","540,407",233,"67,551",11
102,102,Nicaragua,"2,170",,74,,"1,238",,858,,328,11,,,"6,623,651","3,052","89,509",
103,103,Mali,"2,147",+29,114,+1,"1,432",+34,601,,106,6,"12,807",633,"20,238,894","9,427","177,534","1,580"
104,104,Madagascar,"2,078",+73,18,+2,944,+37,"1,116",24,75,0.7,"20,964",757,"27,677,653","13,319","1,537,647","1,320"
105,105,Sri Lanka,"2,036",+3,11,,"1,661",+22,364,1,95,0.5,"101,226","4,727","21,412,573","10,517","1,946,598",212
106,106,Equatorial Guinea,"2,001",,32,,515,,"1,454",,"1,427",23,"16,000","11,413","1,401,938",701,"43,811",88
107,107,Estonia,"1,987",+1,69,,"1,818",+6,100,,"1,498",52,"105,676","79,663","1,326,530",668,"19,225",13
108,108,South Sudan,"1,942",,36,,224,,"1,682",1,174,3,"10,226",914,"11,192,233","5,763","310,895","1,094"
109,109,Paraguay,"1,942",,15,,"1,045",,882,3,272,2,"65,605","9,199","7,131,517","3,672","475,434",109
110,110,Palestine,"1,854",+39,4,,447,+1,"1,403",,364,0.8,"84,621","16,594","5,099,346","2,750","1,274,837",60
111,111,Iceland,"1,836",,10,,"1,814",,12,,"5,381",29,"74,424","218,109","341,224",186,"34,122",5
112,112,Lithuania,"1,815",+2,78,,"1,503",,234,16,667,29,"416,739","153,087","2,722,241","1,500","34,901",7
113,113,Lebanon,"1,740",+21,34,+1,"1,153",,553,8,255,5,"128,894","18,884","6,825,544","3,923","200,751",53
114,114,Slovakia,"1,664",+7,28,,"1,461",+6,175,,305,5,"208,904","38,263","5,459,627","3,281","194,987",26
115,115,Guinea-Bissau,"1,614",,22,,317,,"1,275",5,820,11,"1,500",763,"1,967,180","1,219","89,417","1,311"
116,116,Slovenia,"1,581",+9,111,+2,"1,384",+8,86,,760,53,"100,313","48,252","2,078,936","1,315","18,729",21
117,117,Zambia,"1,531",,21,,"1,233",,277,1,83,1,"52,195","2,841","18,373,642","12,001","874,935",352
118,118,New Zealand,"1,526",+4,22,,"1,484",,20,,305,4,"392,756","78,518","5,002,100","3,278","227,368",13
119,119,Sierra Leone,"1,410",,59,,937,,414,,177,7,,,"7,974,407","5,656","135,159",
120,120,Hong Kong,"1,200",+2,7,,"1,104",+9,89,1,160,0.9,"321,498","42,887","7,496,402","6,247","1,070,915",23
121,121,Tunisia,"1,169",+1,50,,"1,029",+4,90,,99,4,"69,137","5,850","11,817,294","10,109","236,346",171
122,122,Benin,"1,149",+25,16,+2,306,+11,827,2,95,1,"56,094","4,629","12,117,155","10,546","757,322",216
123,123,Jordan,"1,121",+10,9,,860,+19,252,3,110,0.9,"374,708","36,729","10,202,076","9,101","1,133,564",27
124,124,Yemen,"1,118",+15,296,,430,+13,392,,37,10,120,4,"29,814,939","26,668","100,726","248,458"
125,125,Latvia,"1,116",+1,30,,932,,154,1,592,16,"147,916","78,420","1,886,200","1,690","62,873",13
126,126,Cabo Verde,"1,091",,12,,568,,511,,"1,963",22,"1,560","2,806","555,921",510,"46,327",356
127,127,Congo,"1,087",,37,,456,,594,,197,7,,,"5,515,618","5,074","149,071",
128,128,Niger,"1,068",+6,67,,937,+13,64,,44,3,"6,449",267,"24,185,084","22,645","360,971","3,750"
129,129,Malawi,"1,038",,13,,260,,765,4,54,0.7,"12,578",658,"19,120,636","18,421","1,470,818","1,520"
130,130,Cyprus,994,,19,,824,,151,,823,16,"151,975","125,882","1,207,279","1,215","63,541",8
131,131,Burkina Faso,941,,53,,830,,58,,45,3,,,"20,891,976","22,202","394,188",
132,132,Uruguay,924,,26,,818,,80,2,266,7,"64,183","18,477","3,473,644","3,759","133,602",54
133,133,Georgia,924,+3,15,+1,785,+4,124,5,232,4,"101,753","25,507","3,989,201","4,317","265,947",39
134,134,Rwanda,878,,2,,413,,463,,68,0.2,"134,749","10,408","12,946,351","14,745","6,473,176",96
135,135,Chad,866,+1,74,,780,+2,12,,53,5,,,"16,416,244","18,956","221,841",
136,136,Uganda,859,+11,,,794,+33,65,,19,,"170,789","3,736","45,709,216","53,212",,268
137,137,Andorra,855,,52,,799,,4,,"11,066",673,"3,750","48,535","77,264",90,"1,486",21
138,138,Mozambique,839,+23,5,,225,+2,609,,27,0.2,"27,956",895,"31,237,890","37,232","6,247,578","1,117"
139,139,Liberia,768,+39,34,,298,+7,436,,152,7,,,"5,055,591","6,583","148,694",
140,140,Eswatini,745,,8,,370,,367,5,642,7,"6,551","5,647","1,160,036","1,557","145,005",177
141,141,Libya,727,,18,,171,,538,,106,3,"23,075","3,359","6,870,139","9,450","381,674",298
142,142,Sao Tome and Principe,713,,13,,219,,481,,"3,254",59,"1,773","8,092","219,098",307,"16,854",124
143,143,Diamond Princess,712,,13,,651,,48,4,,,,,,,,
144,144,San Marino,698,,42,,656,,0,,"20,571","1,238","5,669","167,074","33,931",49,808,6
145,145,Jamaica,690,+4,10,,552,+13,128,,233,3,"23,583","7,964","2,961,069","4,291","296,107",126
146,146,Malta,670,,9,,636,+1,25,,"1,517",20,"94,048","213,002","441,535",659,"49,059",5
147,147,Togo,615,,14,,396,,205,2,74,2,"29,882","3,611","8,275,320","13,456","591,094",277
148,148,Channel Islands,571,,47,,512,,12,,"3,284",270,"10,255","58,989","173,847",304,"3,699",17
149,149,Zimbabwe,567,,6,,142,,419,,38,0.4,"66,238","4,457","14,860,147","26,208","2,476,691",224
150,150,Réunion,520,,2,,472,,46,3,581,2,"17,200","19,212","895,254","1,722","447,627",52
151,151,Tanzania,509,,21,,183,,305,7,9,0.4,,,"59,699,691","117,288","2,842,842",
152,152,Montenegro,469,,9,,315,,145,,747,14,"13,186","20,995","628,066","1,339","69,785",48
153,153,Suriname,467,+34,11,,191,,265,6,796,19,"1,244","2,121","586,580","1,256","53,325",472
154,154,Taiwan,447,,7,,435,,5,,19,0.3,"76,209","3,200","23,816,502","53,281","3,402,357",313
155,155,Vietnam,355,,,,330,,25,1,4,,"275,000","2,825","97,329,851","274,169",,354
156,156,Mauritius,341,,10,,326,,5,,268,8,"171,792","135,083","1,271,755","3,729","127,176",7
157,157,Isle of Man,336,,24,,312,,0,,"3,952",282,"6,273","73,775","85,029",253,"3,543",14
158,158,Myanmar,296,+3,6,,216,,74,,5,0.1,"73,278","1,347","54,406,591","183,806","9,067,765",742
159,159,Comoros,272,,7,,161,,104,,313,8,,,"869,297","3,196","124,185",
160,160,Angola,259,,10,,81,,168,6,8,0.3,"10,000",304,"32,844,042","126,811","3,284,404","3,284"
161,161,Syria,256,,9,,102,,145,,15,0.5,,,"17,493,003","68,332","1,943,667",
162,162,Martinique,242,,14,,98,,130,,645,37,,,"375,266","1,551","26,805",
163,163,Guyana,230,,12,,109,,109,1,292,15,"2,423","3,081","786,522","3,420","65,544",325
164,164,Mongolia,219,,,,175,,44,9,67,,"21,959","6,700","3,277,570","14,966",,149
165,165,Cayman Islands,196,,1,,186,,9,,"2,983",15,"22,657","344,787","65,713",335,"65,713",3
166,166,Eritrea,191,,,,53,,138,,54,,,,"3,545,809","18,564",,
167,167,Faeroe Islands,187,,,,187,,0,,"3,827",,"12,974","265,523","48,862",261,,4
168,168,Guadeloupe,182,,14,,157,,11,2,455,35,"8,239","20,591","400,124","2,198","28,580",49
169,169,Gibraltar,177,,,,176,,1,,"5,254",,"12,725","377,697","33,691",190,,3
170,170,Burundi,170,,1,,115,,54,,14,0.08,493,41,"11,883,344","69,902","11,883,344","24,104"
171,171,Namibia,150,+14,,,22,,128,1,59,,"8,428","3,318","2,540,229","16,935",,301
172,172,Bermuda,146,,9,,134,,3,1,"2,344",145,"10,794","173,317","62,279",427,"6,920",6
173,173,Brunei,141,,3,,138,,0,,322,7,"29,111","66,549","437,436","3,102","145,812",15
174,174,Cambodia,141,+2,,,129,,12,1,8,,"35,093","2,099","16,716,082","118,554",,476
175,175,Trinidad and Tobago,126,,8,,109,,9,,90,6,"4,866","3,477","1,399,456","11,107","174,932",288
176,176,Bahamas,104,,11,,87,,6,1,264,28,"2,388","6,073","393,205","3,781","35,746",165
177,177,Monaco,103,,4,,95,,4,,"2,625",102,"16,200","412,855","39,239",381,"9,810",2
178,178,Aruba,101,,3,,98,,0,,946,28,"2,343","21,946","106,763","1,057","35,588",46
179,179,Barbados,97,,7,,90,,0,1,338,24,"7,756","26,989","287,373","2,963","41,053",37
180,180,Botswana,92,,1,,25,,66,1,39,0.4,"36,868","15,683","2,350,877","25,553","2,350,877",64
181,181,Liechtenstein,82,,1,,81,,0,,"2,151",26,900,"23,605","38,127",465,"38,127",42
182,182,Sint Maarten,77,,15,,62,,0,,"1,796",350,500,"11,663","42,871",557,"2,858",86
183,183,Bhutan,76,+1,,,38,,38,,99,,"24,509","31,767","771,515","10,152",,31
184,184,Antigua and Barbuda,65,,3,,22,,40,1,664,31,680,"6,944","97,921","1,506","32,640",144
185,185,French Polynesia,60,,,,60,,0,,214,,"4,649","16,551","280,894","4,682",,60
186,186,Macao,46,,,,45,,1,,71,,,,"649,226","14,114",,
187,187,Gambia,45,+1,2,,26,,17,,19,0.8,"2,117",876,"2,415,305","53,673","1,207,653","1,141"
188,188,Saint Martin,42,,3,,36,,3,1,"1,086",78,685,"17,720","38,657",920,"12,886",56
189,189,St. Vincent Grenadines,29,,,,29,,0,,261,,784,"7,067","110,938","3,825",,142
190,190,Turks and Caicos,28,+12,1,,11,,16,,723,26,608,"15,706","38,711","1,383","38,711",64
191,191,Belize,24,,2,,18,,4,,60,5,"2,188","5,504","397,522","16,563","198,761",182
192,192,Lesotho,24,,,,4,,20,,11,,"3,000","1,401","2,142,089","89,254",,714
193,193,Timor-Leste,24,,,,24,,0,,18,,"1,568","1,190","1,318,063","54,919",,841
194,194,Curaçao,23,,1,,19,,3,,140,6,"1,080","6,582","164,088","7,134","164,088",152
195,195,Grenada,23,,,,23,,0,,204,,"4,130","36,705","112,519","4,892",,27
196,196,New Caledonia,21,,,,21,,0,,74,,"8,260","28,935","285,470","13,594",,35
197,197,Seychelles,20,+9,,,11,,9,,203,,,,"98,342","4,917",,
198,198,Laos,19,,,,19,,0,,3,,"14,645","2,013","7,274,207","382,853",,497
199,199,Saint Lucia,19,,,,19,,0,,103,,"1,619","8,817","183,621","9,664",,113
200,200,Dominica,18,,,,18,,0,,250,,623,"8,655","71,985","3,999",,116
201,201,Fiji,18,,,,18,,0,,20,,"4,000","4,462","896,386","49,799",,224
202,202,Saint Kitts and Nevis,15,,,,15,,0,,282,,447,"8,403","53,196","3,546",,119
203,203,Falkland Islands,13,,,,13,,0,,"3,738",,"1,027","295,285","3,478",268,,3
204,204,Greenland,13,,,,13,,0,,229,,"3,341","58,853","56,769","4,367",,17
205,205,Vatican City,12,,,,12,,0,,"14,981",,,,801,67,,
206,206,Montserrat,11,,1,,10,,0,,"2,204",200,61,"12,220","4,992",454,"4,992",82
207,207,Papua New Guinea,11,,,,8,,3,,1,,"5,637",630,"8,944,458","813,133",,"1,587"
208,208,Western Sahara,10,,1,,8,,1,,17,2,,,"597,072","59,707","597,072",
209,209,MS Zaandam,9,,2,,,,7,,,,,,,,,
210,210,British Virgin Islands,8,,1,,7,,0,,265,33,212,"7,013","30,229","3,779","30,229",143
211,211,Caribbean Netherlands,7,,,,7,,0,,267,,424,"16,170","26,221","3,746",,62
212,212,St. Barth,6,,,,6,,0,,607,,152,"15,389","9,877","1,646",,65
213,213,Anguilla,3,,,,3,,0,,200,,180,"11,998","15,002","5,001",,83
214,214,Saint Pierre Miquelon,1,,,,1,,0,,173,,,,"5,794","5,794",,
215,215,China,"83,500",+17,"4,634",,"78,451",+7,415,8,58,3,"90,410,000","62,814","1,439,323,776","17,237","310,601",16
216,,Total:,"10,169,777","+94,662","502,809","+2,185","5,508,727","+54,179","4,158,241","57,949","1,304.7",64.5,,,,,,
